Резюме,Профессия,Обязанности,predict
155,механизатор,"Возделывание почвы, Ремонт ДВС",механизатор (докер - механизатор) комплексной бригады на погрузочно-разгрузочных работах
155,механизатор,"Возделывание почвы , посев зерновых культур",механизатор (докер - механизатор) комплексной бригады на погрузочно-разгрузочных работах
155,механизатор-слесарь,"Возделывание почвы, уход за посевами, ремонт сх техники",механизатор (докер - механизатор) комплексной бригады на погрузочно-разгрузочных работах
156,технический специалист,Консультативная работа с клиентами и менеджерами фирмы,начальник технического отдела
156,региональный менеджер по продажам,Работа с клиентами для продаж семян и средств защиты растений,менеджер
156,исполнительный директор по производству,"Организация производственного процесса, контроль за соблюдением технологии выращивания сельскохозяйственных культур",директор типографии
156,агроном инспектор,"Контроль за соблюдением технологий выращивания с/х культур в холдинге, аналитическая работа, защита растений, разработка регламентов, закладка опытов",агроном
156,начальник отдела мониторинга плодородия почв с/х назначения,Проведение мониторинга плодородия почв сельскохозяйственных предприятий,начальник инструментального отдела
156,"доцент кафедры растениеводства, кандидат с/х наук",преподавание теоретических и практических основ технологий выращивания с/х культур,"директор (генеральный директор, управляющий) предприятия"
156,аспрант кафедры растениеводства и селекции,учеба в аспирантуре,"директор (генеральный директор, управляющий) предприятия"
156,главный агроном,Руководство технологическим процессом производства продукции с/х культур и кормов,главный агроном
157,ветеринарный врач,"Приёмка товара, выписка и гащение ЭВСД. Работа в 1С",ветеринарный врач
157,заведующий отдела противоэпизоотического,"Составление планов командировок с последующими выездами по ЮФО, с целью проведения ветеринарно-профилактических мероприятий служебных собак. Проведения проверок организаций оказывающих услуги питания личного состава воинских частей. Ведение документации проведенных мероприятий.",заведующий канцелярией
157,ветеринарный врач, Проведение ветеринарно-профилактических мероприятий служебных собак. Проведения проверок организаций оказывающих услуги питания личного состава воинских частей. Ведение документации проведенных мероприятий.,ветеринарный врач
158,главный агроном,"Составление  Технологических карт,  Контроль соблюдения агротехнических планов  качество проводимых работ . внедрение новых технологий  сортов.",главный агроном
158,главный  агроном,"Составление  Технологических карт,  Контроль соблюдения агротехнических планов  качество проводимых работ . внедрение новых технологий  сортов. В  2016 г  АО  Лебедёвская    2 место в Искитимском  районе  по  урожайности в растениеводстве",главный агроном
158,руководитель  магазина продажа  с\х  запчастей г.   искитим.,открытие филиала с 0 создание клиентской сети наращивание продаж  несмотря на жесткую конкуренцию.Заключение договоров поставки с\х запчастей с более  чем 50 организациями в районе постоянная работа с ними.,секретарь руководителя
159,менеджер по продажам,"• Работа с клиентами в клубе и по телефону

• Презентация клуба

• Работа с возражениями

• Оформление рассрочек через банк

• Поддержание существующей базы клиентов

• Выполнение плановых показателей

• Постоянное увеличение своих продаж.",менеджер
159,менеджер по работе с клиентами,"•Продажа мобильных устройств и аксессуаров

•Консультирование Клиентов

•Постоянное увеличение своих продаж.

•Подключение и обслуживание абонентов «МегаФон»

•Решение организационных вопросов (открытие, закрытие салона‚ ведение отчетности по продажам‚ выкладка нового товара и т.д.)",менеджер
159,комплектовщик,"Сбор заказа по накладным, собирал заказы без пересортов","директор (генеральный директор, управляющий) предприятия"
159,лаборант,Уход за опытным полем СПбГАУ,лаборант
160,агроном-технолог тепличного комплекса,"Разработка технологии выращивания рассады овощных и цветочных культур, проведение переговоров с поставщиками и подрядчиками, непосредственное участие в процессах выращивания, контроль качества продукции, участие в процессе реализации и отпуске продукции, ведение первичной бухгалтерской документации, представление тепличного комплекса на семинарах и выставках, участие в планировании производства, реализация плана производства от выращивания до реализации, маркетинговое исследование рынка рассады цветочных культур, составление согласно потребностей рынка графиков производства цветов согласно ассортимента, владение полной клиентской базой на рассаду овощных и цветочных культур,

производственная площадь производства -0,6га, ежегодное выращивание рассады овощных культур - 7,5-8,5млн шт, рассады цветов - 0,8-1млн.шт, в прямом подчинении коллектив из 11человек.",инженер-технолог (технолог)
161,заместитель заведующего складом,организация загрузочно-разгрузочных работ,заведующий складом
161,агроном,организация ведение полевых работ,агроном
161,главный агроном,организация полевых работ покука  хзр мин.удоб  семена заготовка кормов уборка зерновых культур составление технолгических карт севооборотов рабочих планов,главный агроном
161,агроном отделении,врашивание зерновых и кормовых  культур  заготовка кормов,агроном
162,мастер оросительных систем,"Установка и наладка систем орошения,устранение неисправностей.Реклама и предложение услуг фирмы.","начальник отделения (участка) оросительных, осушительных, оросительно-осушительных систем службы эксплуатации мелиоративных систем"
162,старший садовник,Организация работ по озеленению территории.,садовник
163,главный агроном,"Бюджетирование сельскохозяйственных предприятий входящих в состав холдинга (10 предприятий общей площадью 100 000га), расчет потребности в удобрениях, пестицидах, составление севооборотов, внедрение системы земледелия No-till c нуля, расчет плановой урожайности с/х культур, введение залежных земель новоприобретенных хозяйств.",главный агроном
164,водитель-экспедитор,"Перевоз, реализация, продажа пр -и ПФ.Ремонт, обслуживание техники.",экспедитор
164,инженер-механик,"Обеспечение работоспособности машинно - тракторного парка. Своевременное 

ТО текущей кап. ремонт сельхоз. техники.",механик
165,"учитель информатики, лаборант",Преподавание; обслуживание орг техники; мелкий ремонт компьютеров; диагностика и устранение неисправностей; работа над созданием сайта для организации; установка ПО;настройка сервера;,лаборант
165,бухгалтер по учету тмц,участие в проведении плановых и неплановых инвентаризаций; участие в составлении промежуточных и годовых отчетов; обработка первичной документации; закуп ТМЦ; прием и выдача ТМЦ;,бухгалтер
166,"главный  ветеринарный врач хозяйства, директор лаборатории, ветеринарный врач","Получил синий диплом ветеринарного факультета по специальности -ветеринарная медицина в 1999г.,  и с этого же года  до середины 2001- зарабатывал стаж в должности главного ветеринарного врача хозяйства СПК им.Мичурина. В этот период активно велась борьба с туберкулёзом КРС. На СТФ велась работа по воспроизводству стада свиней, увеличение поголовья. Своевременно проводились плановые вакцинации, исследования, обработки. С 2001 года переводом был оформлен на работу в Целинскую ветеринарную станцию. С 2004 года по 2008 год назначен директором- врачомбактериологом Целинской ветеринарной лаборатории . В обязанности, кроме руководящей работы, проводили исследования пат.материалов на сибирскую язву, рожу свиней, пастереллёз свиней  и птицы, трихинеллёз свиней, вскрытие трупов животных и птицы и т.д. Принимал активное участие в проведении карантинных мероприятий по бруцеллёзу КРС . Активно участвовал в борьбе и профилактики заболевания птичьего гриппа птиц в населенных пунктах Целинского района. Ежегодно   повышал квалификацию ветеринарного специалиста в Ростовской облветлаборатории. С 2008 года по настоящее время - ветеринарный врач подсобного хозяйства  ИП КФХ Веретенников В.В. -разведение лошадей Будёновской породы. В обязанности входит профилактика болезней, лечение, исследование, оформление ветеринарных документов на отправку лошадей для участия в соревнованиях. Занимаюсь частной практикой лечения и профилактики заболеваний   мелких и домашних животных. С хирургическими вмешательствами-опыт небольшой.",главный ветеринарный врач
167,комплектовщик! укладчик-упаковщик,Комплектоака и подготовка продукции к отправки к потребителям! ,"директор (генеральный директор, управляющий) предприятия"
167,ветеринарный врач,"Прием и осмотр поголовья, прием сопроводительных документов оформление в меркурий, ведение отчетной документации",ветеринарный врач
167,ветеринарный врач,"Назначение лечебной терапии! Проведение противо эпизоотических , иммунологических мероприятий. Ведение учетной документации, учет ветеринарный препаратов участка",ветеринарный врач
167,ветеринарный фельдшер,Лечение и вакцинации животных ,ветеринарный фельдшер
168,врач ветеринарной медицины 2 категории,Осуществление ветеринарно-санитарного контроля на субъектах хозяйствования в г.Киеве,ветеринарный врач
168,ветеринарный врач,Проведение профилактических мероприятий и лечение откормочного поголовья свиней,ветеринарный врач
169,слесарь по ремонту технологического оборудования 5 разряда,"Ремонт и техническое обслуживание газоперекачивающего оборудования компрессорной станции ""Елизаветинская"" газопровода ""Северный поток""",слесарь по обслуживанию и ремонту оборудования
169,"автоэлектрик-диагност, автомеханик","- Диагностика и ремонт электронных систем управления двигателем и трансмиссией
- Адаптация, программирование электронных блоков  
- Работа с тех.документацией.
- Ремонт электропроводки.
- Установка доп. оборудования.
- Слесарный ремонт узлов и агрегатов
- Капитальный ремонт ДВС
","директор (генеральный директор, управляющий) предприятия"
169,электромонтажник,"Монтаж электрооборудования и слаботочных систем (видеонаблюдение, системы контроля доступа, домофоны).  Прокладка кабелей внутри помещений, монтаж лотков, установка и расключение силовых щитов, установка электроприборов, ремонт и установка бытовой техники.","директор (генеральный директор, управляющий) предприятия"
169,сервисный инженер,"Монтаж, ремонт и техническое обслуживание автоматического оборудования для молочного животноводства,  доильных залов и компьютерных систем управления стадом. Ремонт насосов и компрессоров,  установка и настройка частотных преобразователей и прочего оборудования.",инженер
169,сервисный инженер,"	Пуско-наладка всего спектра оборудования концерна Brokk, Kraft telerobotics  на объектах Заказчиков;

	Проведение предпродажной подготовки оборудования;

	Осуществление технической поддержки менеджеров отдела продаж и запасных частей;

	Гарантийное и постгарантийное сервисное обслуживание техники и навесного оборудования;

	Диагностика, ремонт оборудования на объектах Заказчиков (вся территория России и СНГ);

	Непосредственное участие в работах по ремонту техники. Ремонт механики, гидравлики, электрики, систем управления;

	Проведение инструктажа по эксплуатации и ремонту оборудования для персонала заказчиков;

	Подготовка и перевод технической документации,  инструкций по эксплуатации и ремонту

	Связь с заводами-изготовителями оборудования по техническим вопросам;",инженер
169,сервисный инженер,"	Организация обслуживания, ремонта и бесперебойной работы техники компании на объектах в СПб и ЛО

	Развитие ремонтной базы компании, отбор технического персонала

	Организация снабжения запасными частями и расходными материалами",инженер
169,менеджер по продажам,"	Продажа полуприцепов-тяжеловозов (тралы), переговоры с клиентами компании, согласование договоров, отгрузка техники со склада.

	Работа с заводами-изготовителями полуприцепов-тралов, планирование, формирование и отслеживание заказов

	Поиск и работа с поставщиками техники (Европа, США).",менеджер
169,автомеханик,"Диагностика, ремонт, техническое обслуживание легковых автомобилей:

- ремонт подвески

- ремонт стартеров, генераторов

- ремонт ДВС

- замена ремней и цепей ГРМ

- сварочные работы (полуавтомат)","директор (генеральный директор, управляющий) предприятия"
170,продавец,Работа в зале,продавец продовольственных товаров
170,помощник главного ветеринарного врача,В обязанности входило помогать и лечить КРС и МРС,главный ветеринарный врач
170,помощник главного ветеринарного врача,В обязанности входило помогать и лечить МРС и КРС,главный ветеринарный врач
171,сельское хозяйство,"Работа с зерном, приёмка, отгрузка, протравка ",тракторист-машинист сельского хозяйства
171,мастер по оборудованию ,"Своевременный мониторинг всех рабочих агрегатов, выявление и устранение неполадок, контроль качества выполнения работ слесарной и сварочной бригад, планирование нарядов и выполняемых работ ",мастер участка
171,водитель-экспедитор,Доставка мебельной продукции клиентам,экспедитор
172,менеджер по продажам запасных частей,Продажа оригинальных запчастей и аналогов. Работа в 1С.,менеджер
172,инженер по запасным частям ,"Расценка дефектовок, работа с тендерами, подбор аналогов, работа с электронными каталогами дилеров, ведение деловой переписки с дилерами и поставщиками, взаимодействие со складом и организация логистики ТМЦ до заказчика, анализ потребности, закупка и контроль использования(аудит) оборудования и инструмента инженеров сервисной службы, работа в программах AGCO NET, NAVISION, ведение сопроводительной и отчетной документации, сопровождение ТМЦ до заказчика, контроль оригинальных запчастей и масла, подбор аналогов. Анализ масел и фильтров на применимость  в сельхозтехнике. ",инженер
172,"инженер по импортной технике,инженер-механик","Обслуживание и ремонт импортной техники(Джон Дир, Клаас, Крон, Амазон, Лемкен и проч.) Тесно работаю с отечественной техникой.",инженер
173,инженер-механик,"Обеспечение бесперебойной и технически правильной эксплуатации оборудования, повышение ее сменности, содержание в работоспособном состоянии. Участие в наладочных и других работах по внедрению и освоению новой техники, в испытаниях оборудования, в приемке нового и вышедшего из ремонта оборудования. Анализ причин повышенного износа оборудования, его простоев, расследовании аварий, разработке и внедрению мероприятий по их ликвидации и предупреждению. Организация межремонтного обслуживания, своевременного и качественного ремонта, модернизации оборудования, работ по повышению его надежности и долговечности, технического надзора за состоянием, обеспечение рационального использования материалов на выполнение ремонтных работ. Разработка графиков планово-предупредительного ремонта, утверждение графиков и контроль их выполнения, обеспечение технической подготовки производства. Производство работ по выявлению узлов и деталей технологического оборудования, подлежащих усовершенствованию и модернизации с целью повышения надежности и экономичности работы технологических машин. Проведение работ совершенствованию организации эксплуатации технологического оборудования с целью повышения качества ремонта и обслуживания, экономии используемых для ремонта материалов. Обеспечение надежной эксплуатации, проведение всех необходимых ремонтов и технического обслуживания технологического оборудования.",механик
173,инженер-механик огм,"Проведение предварительной работы с поставщиками оборудования и услуг. Заключение договоров на поставку оборудования и оказание услуг. Участие в проведении инвентаризации. Проверка графиков планово-предупредительных ремонтов (ППР). Сбор и обработка заявок на приобретение ТМЦ. Участие в комиссии по внутренним аудитам качества. Подготовка материалов, нормативных актов и других документов.",механик
173,мастер-прораб,"Визуальный осмотр, проверка укомплектованности спец. техники (гидродинамические установки высокого давления, вакуумно-нагнетательное  оборудование и проч.). Выполнение очистных работ на территории заказчика с помощью вакуумно-нагнетательной установки. Взаимодействие с заказчиком до начала работ, согласование регламентирующей документации по объекту. Организация бригад по выполнению работ на объектах. Контроль ведения работ. Предоставление отчётности по производительности.",производитель работ (прораб)
173,и.о. заместителя начальника по пп (по приказу) ,"Руководство службой подготовки производства. Обеспечение цеха технической документацией, необходимым технологическим оборудованием, материалами, комплектующими изделиями, оснасткой и инструментом для бесперебойной работы. Контроль выполнения демонтажа и монтажа технологического оборудования. Разработка план-графиков, ввод оборудования в эксплуатацию, работа с подрядными организациями, составление заявок на приобретение оборудования. Работа с представителями компаний по ремонту оборудования.",финансовый директор (заместитель директора по финансам)
173,инженер-механик 1 категории,Контроль за выполнением работ по ремонту оборудования. Контроль качества работ по монтажу оборудования. Запуск оборудования в эксплуатацию. Работы по ремонту оборудования со смежными подразделениями.,механик
173,и.о. механика (по приказу) ,"Руководство службой механика, контроль за выполнением работ по ремонту технологического оборудования, контроль выполнения ППР технологического оборудования. Составление годовых заявок на приобретение запасных частей, приобретение ГСМ и СОЖ.",механик
173,инженер-технолог 3 категории,"Разработка технологических процессов, внедрение технологических процессов в производство, авторский контроль.",инженер-технолог (технолог)
173,слесарь-ремонтник 5 разряда,Ремонт и обслуживание химического оборудования,слесарь по обслуживанию и ремонту оборудования
174,заведующий кирпичным заводом.,"Организация труда по производству глиняного кирпича, контроль за соблюдением работниками ТБ, ПБ.  Составление графиков ТО технологического оборудования. Выдача нарядов на выполнение работ, контроль за выполнением работ",заведующий канцелярией
174,механик по ремонту автомобилей,"Организация труда.автопарка, контроль за техническим состоянием подвижного состава. Ведение путевой документации, контроль за движением ГСМ и запасными частями",водитель автомобиля
174,водитель-экспедитор,Доставка груза,экспедитор
175,инженер-механик-наладчик,"- ремонт станков с чпу токарной группы

- ремонт станков с чпу фрезерной группы

- ремонт 5 координатных обрабатывающих центров.

- проверка станков на тех точность и доведения их до заданных значений.

- ремонт станка чпу гидрообразивной резки 

- ремонт электроэрозионных станков чпу

- а так же ремонт и наладка сложного оборудования ( дробеструйные камеры упрочнения, камеры виброупрочнения, шлифовальные станки)",механик
175,сервисный инженер,"- выезд и ремонт сельскохозяйственной техники.

- проведение предпродажной подготовки техники Ростсельмаш, Лидаагропроммаш, Белагромаш - сервис, Червона зирка.

- проведение гарантийного ремонта и ввода в эксплуатацию; настройка в поле.

- оказание платных услуг по ремонту с/х техники.",инженер
175,главный инженер,"- организация ремонта с/х техники,

-  планирование и обеспечение хозяйства ГСМ,снабжение запчастями для техники, планирование ТО

- ведение отчетной документации (управление с/х)

- взаимодействия с контролирующими органами

- обеспечение бесперебойной работы машинотракторного парка,

- проведение тех осмотров,

- управление коллективом более 20 человек

- опыт работы в режиме многозадачности",главный инженер
175,инженер механик,"- ведение отчетной документации

- ведение журнала путевых листов

- обеспечение бесперебойной работы молочно товарного комплекса 

- ремонт техники и оборудование",механик
175,слесарь по ремонту грузовых автомобилей 3 разряда,"- ремонт грузовых автомобилей российского и иностранного производства,

- слесарные работы,

- проведение ТО",слесарь по обслуживанию и ремонту оборудования
175,механизатор-водитель,"- обслуживание и эксплуатация с\х техники, спец техники, автомобилей

- ремонт дизельных двигателей,",водитель аэросаней
175,тракторист-машинист,"- ремонт, обслуживание и эксплуатация сельхоз техники и оборудования.",тракторист
176,индивидуальный предприниматель,"автотранспортные перевозки,погрузка ж.д. вагонов","директор (генеральный директор, управляющий) предприятия"
176,директор,"Заготовка леса, распиловка, изготовление и строительство домов под ключ",директор типографии
176,директор,директор,директор типографии
176,начальник транспортного цеха,транспортные перевозки сырья погрузка выгрузка ж.д. вагонов,начальник цеха (участка)
177,механик и управляющий учебным хозяйством,"- Эксплуатация и ремонт автомобильной и с/х. техники 

- Провидение посевных и уборочных работ в учебном хозяйстве",заведующий хозяйством
177,инженер по эксплуатации,"- Эксплуатация и ремонт техники

- Контроль качества ремонтных работ

- Снабжение запасными частями, ГСМ

- Видение технической и нормативной документации

- Расчет и прогноз затрат",инженер по эксплуатации мелиоративных систем
177,прораб,"-Эксплуатация и ремонт автомобильных дорог.

-Эксплуатация и ремонт дорожной техники.

-Общее руководство

-Ведение документации",производитель работ (прораб)
178,управляющий цеха доращивание,"организация и контроль работы коллектива, контроль технологии кормления.",начальник цеха (участка)
178,заместитель директора по производству,"организация и контроль работы коллектива, планирование производства и воспроизводства свиней, контроль технологии кормления.",финансовый директор (заместитель директора по финансам)
179,управляющий фермой,"Работа с КРС мясного направления. Составление рационов. Распределение обязанностей между рабочими. Составление графиков и табелей. Контроль за сохранностью поголовья. Приемка и реализация КРС. Работа с контрагентами. Работа по заявкам покупных кормов, дополнительных и расходных материалов для производства. Контроль за нормой отелов. Составление и сдача отчетности по животноводству.","управляющий отделением (фермой, сельскохозяйственным участком)"
179,главный зоотехник,"Составление рационов для МКРС и КРС мясного и молочного направления. Контроль за заготовкой кормов. Контроль за надлежащим кормлением и уходом за КРС, реализация КРС. Составление и сдача отчетности по животноводству. ",зоотехник
179,зоотехник,"Кормление и надлежащий уход за КРС. Контроль за исполнением поставленных задач по содержанию, уходом и кормлению скота. Проверка кормов на качество. Контроль за сохранностью поголовья.",зоотехник
179,зоотехник молодняка,"Кормление молодняка КРС, перевески, уход за молодняком, контроль над рабочими, содержание помещений в чистоте",зоотехник
179,управляющий фермой,"Следить за кормление скота, за состоянием кормов. Контроль над рабочими фермы. Повышены надои коров и привес молодняка","управляющий отделением (фермой, сельскохозяйственным участком)"
180,системный администратор,"Обслуживание серверов, систем видеонаблюдения, компьютеров, ведение сайта.",администратор
180,мастер по ремонту компьютеров,"Выезд на дом, диагностика, ремонт и обслуживание компьютерной техники. Настройка интернета, установка и настройка видеонаблюдения (с января 2016г)",инженер по ремонту
180,электромеханик по средствам автоматики и приборам технологического оборудования,"Монтаж, ревизия и эксплуатация контрольно измерительных приборов и автоматики предприятия. Обслуживание коммерческих/ некоммерческих узлов учета. Ремонт и обслуживание компьютерной техники.",водитель мототранспортных средств
180,менеджер по продажам,"Менеджер по продажам мягкой и корпусной мебели, кассовый учёт",менеджер
181,ведущий специалист,"Осуществление всех видов ветеринарной помощи (в том числе хирургической) по всем видам животных (собаки, кошки, кролики, декоративные грызуны, птица (в том числе продуктивная) свиньи, козы, овцы, крупный рогатый скот). 
ОСУЩЕСТВЛЕНИЕ консультаций и назначение лечения по ауди и видеосвязи в режиме онлайн.  Формирование заключения по данным лабораторных исследований, данным УЗИ, рентгеновским снимкам и другим видам аппаратной диагностики, с учётом имеющей место быть клинической картины, а также с учётом  собранного анамнеза, в удалённом режиме. По данному направлению также работаю в сфере  медицины. Постановка диагноза и назначение лечения пациентов в области метаболических, гормональных и иммунологических расстройств. Инфекционных и паразитарных заболеваний, а также их осложнений. 
Составление диетических рационов для животных с метаболическими и гормональными нарушениями, а также, в период восстановления после травм и перенесённых тяжёлых заболеваний. 
Лечение и спасение животных в случаях, когда от них отказались все иные лечебные ветеринарные учреждения (доказанная положительная статистика более чем в 60% случаев).
Составление высокоэффективных профессиональных рационов и кормовых программ для различных видов продуктивных животных и птицы, на основе передового мирового опыта. 
Консалтинг животноводческих предприятий молочного направления по вопросам кормления, воспроизводства, организации структуры стада, профилактики метаболических расстройств и инфекционных заболеваний. 
 Разработка регламента гинекологической диспансеризации стада с продуктивностью от 9000 кг молока в год на фуражную корову и более, с гарантированным выходом телят не менее 85 на 100 голов коров основного дойного стада, при затянутой (от 300 дней и более) лактации.
Разработка комплексного технологического регламента для всех служб предприятия в сфере молочного животноводства с продуктивностью от 9000 кг молока в год на фуражную корову и более.
Консалтинг кормопроизводящих предприятий по поводу целесообразности применения различных видов сырья, способов их переработки и норм введения. В первую очередь касается нетрадиционных видов сырья.
Консалтинг животноводческих и кормопроизводящих предприятий по поводу целесообразности применения различного вида кормовых добавок и иных видов минорных компонентов рациона. 
Консалтинг кормопроизводящих и животноводческих предприятий по решению задачи значительного снижения стоимости рациона без потери уровня продуктивности.
На сегодняшний день в сфере молочного животноводства удаётся добиться снижения стоимости рациона на 15-30%, без снижения уровня продуктивности и качества молока. 

Рассмотрю предложение по уровню компетенции и уровню заработной платы соответствующее моему уровню квалификации. 

Состояние здоровья хорошее. Абсолютно спокойно выдерживаю ритм 12 часового рабочего дня и частые командировки.

",ведущий специалист по техническому обеспечению отряда по обеззараживанию подкарантинных объектов
