Должность,Должностные обязанности,Должен знать,Требования к квалификации
Приемщик сельскохозяйственных продуктов и сырья,"Прием и сортировка сельскохозяйственных продуктов и сырья. Взвешивание или измерение продукции и сырья. Сортировка по установленным признакам сельскохозяйственных продуктов и сырья. Хранение принятой продукции. Прием сельскохозяйственных продуктов и сырья. Определение качества сдаваемой продукции в соответствии с государственными стандартами или техническими условиями, а также видов сырья, его сорта, таксата, класса, подкласса, состояния дефектности, консервировки, веса и размера. Отпуск продукции получателям. Оформление установленной документации.",правила приема и сортировки сельскохозяйственных продуктов и сырья; правила взвешивания и измерения сельскохозяйственных продуктов и сырья; правила хранения продукции и сырья. правила приема сельскохозяйственных продуктов и сырья; правила определения качества сдаваемой продукции; государственные стандарты или технические условия; способы устранения дефектов и причины их возникновения; правила оформления установленной документации.,"1,2"
Продавец непродовольственных товаров,"Обслуживание покупателей: предложение и показ товаров, демонстрация их в действии, помощь в выборе товаров. Подсчет стоимости покупки и выписка чека. Оформление паспорта на товар, имеющий гарантийные сроки пользования. Упаковка товаров, выдача покупки или передача ее на контроль. Контроль за своевременным пополнением рабочего запаса товаров, их сохранностью, исправностью и правильной эксплуатацией оборудования, чистотой и порядком на рабочем месте. Подготовка товаров к продаже: распаковка, сборка, комплектование, проверка эксплуатационных свойств и т.д. Подготовка рабочего места: проверка наличия и исправности торгово-технологического оборудования, инвентаря и инструментов; размещение товаров по группам, видам и сортам с учетом частоты спроса и удобства работы. Получение и подготовка упаковочного материала. Уборка нереализованных товаров и тары. Подготовка товаров к инвентаризации. При необходимости работа на контрольно-кассовой машине, подсчет чеков (денег) и сдача их в установленном порядке, сверка суммы реализации с показаниями кассовых счетчиков. Обслуживание покупателей, консультирование их о назначении, свойствах, качестве, конструктивных особенностях товаров, правилах ухода за ними, ценах, состоянии моды текущего сезона. Предложение новых, взаимозаменяемых товаров и товаров сопутствующего ассортимента. Оформление наприлавочных и внутримагазинных витрин и контроль за их состоянием. Участие в получении товаров, уведомление администрации о поступлении товаров, не соответствующих маркировке (накладной ведомости). Составление и оформление подарочных и праздничных наборов. Изучение спроса покупателей. Обслуживание покупателей. Получение товаров со склада. Участие в проведении инвентаризации. Составление и оформление товарных отчетов, актов на брак, недостачу, пересортицу товаров и приемосдаточных актов при передаче материальных ценностей. Разрешение спорных вопросов с покупателями в отсутствие представителей администрации. Руководство работой продавцов более низкой квалификации и учеников.","ассортимент, классификацию, характеристику, назначение товаров, способы пользования и ухода за ними; правила расшифровки артикула и маркировки; розничные цены; приемы подбора, отмеривания, отреза, комплектования товаров, шкалы размеров изделий и правила их определения; основные требования стандартов и технических условий, предъявляемые к качеству товаров, таре и маркировке; виды брака и правила обмена товаров; гарантийные сроки пользования товарами; устройство и правила эксплуатации обслуживаемого торгово-технического оборудования и контрольно-кассового аппарата; пути сокращения товарных потерь, затрат труда, электроэнергии и повышения доходов. ассортимент, характеристику, назначение товаров, способы пользования и ухода за ними; состояние моды текущего сезона; приемы и методы активного обслуживания различных контингентов покупателей с учетом их пола, возраста, уровня знаний о товаре и других особенностей; основные виды сырья и материалов, идущих на изготовление товаров, и способы их распознавания; основных поставщиков товаров и особенности ассортимента и качества их продукции; основные принципы устройства торгово-технологического оборудования; принципы оформления наприлавочных и внутримагазинных витрин; методы обобщения данных о спросе покупателей. порядок приема товаров от поставщиков; правила бракеража; основные требования стандартов и технических условий к качеству товаров, таре и их маркировке; принципы оформления оконных витрин; порядок проведения инвентаризации; порядок составления и оформления товарных отчетов, актов на брак, недостачу, пересортицу товаров и приемосдаточных актов при передаче материальных ценностей.","3,4,5"
Продавец продовольственных товаров,"Обслуживание покупателей: нарезка, взвешивание и упаковка товаров, подсчет стоимости покупки, проверка реквизитов чека, выдача покупки. Контроль за своевременным пополнением рабочего запаса товаров, их сохранностью, исправностью и правильной эксплуатацией торгово-технологического оборудования, чистотой и порядком на рабочем месте. Подготовка товаров к продаже: проверка наименования, количества, сортности, цены, состояния упаковки и правильности маркировки; распаковка, осмотр внешнего вида, зачистка, нарезка, разделка и разруб товаров. Подготовка рабочего места: проверка наличия и исправности оборудования, инвентаря и инструмента; заточка, правка инструментов, установка весов. Получение и подготовка упаковочного материала. Размещение товаров по группам, видам и сортам с учетом частоты спроса и удобства работы. Заполнение и прикрепление ярлыков цен. Подсчет чеков (денег) и сдача их в установленном порядке. Уборка нереализованных товаров и тары. Подготовка товаров к инвентаризации. Обслуживание покупателей. Консультирование покупателей о свойствах, вкусовых особенностях, кулинарном назначении и питательной ценности отдельных видов товаров. Предложение новых, взаимозаменяемых товаров и товаров сопутствующего ассортимента. Участие в получении товаров. Уведомление администрации о поступлении товаров, не соответствующих маркировке (накладной ведомости). Оформление наприлавочных и внутримагазинных витрин и контроль за их состоянием. Изучение спроса покупателей. Обслуживание покупателей. Получение товаров со склада, определение их качества по органолептическим признакам, отбор образцов для лабораторного анализа. Составление заявок на ремонт торгово-технологического оборудования. Составление товарных отчетов, актов на брак, недостачу, пересортицу товаров и приемосдаточных актов при передаче материальных ценностей. Участие в проведении инвентаризации. Разрешение спорных вопросов с покупателями в отсутствие представителей администрации. Руководство работой продавцов более низкой квалификации.","ассортимент, классификацию, характеристику, назначение, питательную ценность и розничные цены на товары; признаки доброкачественности товаров; нормы естественной убыли товаров и порядок их списания; устройство и правила эксплуатации обслуживаемого торгово-технологического оборудования; приемы и методы обслуживания покупателей; пути сокращения товарных потерь, затрат труда. основные виды сырья, идущего на изготовление товаров; признаки сортности товаров; методы снижения потерь при хранении и реализации товаров; принципы оформления наприлавочных и внутримагазинных витрин; основных поставщиков и особенности ассортимента и качества их продукции; основные принципы устройства торгово-технологического оборудования; приемы и методы обслуживания различных контингентов покупателей с учетом их пола, возраста, уровня знаний о товаре и других особенностей; основы коллективных форм организации и оплаты труда. порядок приема товаров от поставщиков; основные требования стандартов и технических условий к качеству товаров, таре и их маркировке; правила бракеража; простейшие лабораторные методы определения качества товаров; правила взятия проб и отбора образцов для определения пищевой пригодности товаров; принципы оформления оконных витрин; порядок проведения инвентаризации и составления и оформления товарных отчетов, актов на брак, недостачу, пересортицу товаров и приемосдаточных актов при передаче материальных ценностей; прогрессивные формы и методы обслуживания покупателей.

","2,3,4"
Рабочий плодоовощного хранилища,"Выгрузка картофеля, овощей, фруктов из вагонов, барж, автомашин вручную или с помощью машин и механизмов. Сортировка продукции по срокам хранения и другим установленным признакам, взвешивание и закладка на хранение. Наблюдение за состоянием продукции в процессе хранения. Опыление картофеля противоростковым препаратом. Обработка хранилищ известью, утепление люков хранения. Подготовка плодоовощей и картофеля к реализации: переборка вручную или на машине, взвешивание, затаривание продукции и отходов, укладка для отправки. Погрузка продукции на автомашину. Сортировка и ремонт тары.",ассортимент продукции и правила ее хранения; способы увеличения сроков сохранности продукции; правила сортировки и фасовки продукции; устройство и правила эксплуатации обслуживаемых механизмов.,2
Машинист по стирке и ремонту спецодежды,"Стирка спецодежды, полотенец, штор в стиральных машинах и застирывание вручную. Сушка в сушильных барабанах (камерах) или естественных условиях, глажение на прессах, каландрах или вручную. Мелкий ремонт спецодежды вручную и на швейной машине, нашивка меток. Приготовление моющих и дезинфицирующих растворов. Прием, сортировка и выдача спецодежды. Оформление установленной документации.","технологию стирки спецодежды из различных материалов; устройство, правила эксплуатации обслуживаемого оборудования; виды, свойства применяемых моющих и дезинфицирующих средств и способы их применения и приготовления; правила ведения установленной документации.",2
Рабочий по уходу за животными,"Уход (осмотр, кормление, поение и т.д.) за животными: змеями, рептилиями, птицами и т.п. Уборка клеток, вольеров и загонов, отжимов и мест скопления навоза и т.п. Смена подстилки, мытье кормушек и поилок, подсобных помещений и гнездовых домиков, мытье бассейнов. Поддержание температуры, влажности и освещения в помещениях для животных. Приготовление кормов и кормовых смесей. Планирование и осуществление программ по разведению обслуживаемой группы животных. Участие в полевых работах по изучению биологии животных, а в случае необходимости - участие в их отлове, фиксации, пересадке и транспортировке. Искусственное выкармливание молодняка своей группы животных, приручение (дрессировка) их и осуществление элементарной ветеринарной помощи. Ведение дневника биологических наблюдений и участие в научно-исследовательской работе.","основы биологии и условия содержания закрепленной группы животных; правила кормления, поения; основы разведения своей группы животных; основы дрессировки; устройство клеток, вольеров, загонов, а также перегонных и фиксационных клеток; основы санитарно-гигиенических и ветеринарных требований, предъявляемых к обслуживанию закрепленных групп животных; правила пользования дезинфицирующими растворами и способы их приготовления; правила по охране труда, технике безопасности, производственной санитарии и пожарной безопасности.","1,2,3,4,5,6"
Разведчик объектов природы,"Разведывание нахождения открытых и скрытых мест обитания растений и животных, залегания минералов, горных пород и мест обнаружения окаменелостей для использования их в коллекциях. Определение возможного количества объектов в найденном месте и условий их сбора. Сопровождение сборщиков к местам сбора.","названия и характерные особенности строения разведываемых объектов; характерные признаки мест обитания животных и растений, мест залегания минералов горных пород и мест обнаружения окаменелостей; время появления в природе отдельных стадий развития животных и растений; приемы сбора и первичной обработки собираемых объектов; правила пользования приспособлениями и инструментами, используемыми при разведке объектов природы.",3
Разрубщик мяса на рынке,"Разделка туш на отрубы в соответствии с действующими схемами и разруб на мелкие куски. Проверка клеймения туш по пищевой пригодности и наличия справки мясоконтрольной станции. Отбор образцов мяса для лабораторного анализа. Раскладка мяса на прилавке и развешивание отдельных частей туши на крюки пристенного оборудования. Подготовка рабочего места, проверка исправности инвентаря и инструментов.","схему разруба туш различных животных по сортам и правила их разделки; правила приема мяса на разруб; основные требования, предъявляемые к качеству мясных товаров; правила отбора образцов для определения пищевой пригодности; правила заточки, правки и хранения инструмента; санитарно-гигиенические правила содержания разрубной колоды.",3
Садовник,"Посадка саженцев, черенков, сеянцев, деревьев, кустарников, цветочных растений. Обработка почвы, внесение минеральных удобрений и подкормка растений. Опыление растений и опрыскивание их дезинфицирующими средствами. Выкопка посадочного материала. Копка ям и засыпка их после высадки саженцев. Окучивание и поливка насаждений. Заготовка, установка кольев и подвязка к ним растений. Валка и корчевка сухостойных деревьев и кустарников. Кошение трав на газонах, обрезка бортов садовых дорожек, трамбование грунта. Уборка озелененной территории от листьев, скошенной травы и мусора. Сжигание мусора. Заготовка дерна и одерновка поверхностей. Разработка по чертежам и эскизам планировки и художественного оформления газонов, клумб и площадей, подлежащих озеленению на территориях предприятий и организаций. Подготовка посадочного материала. Стрижка ковровых газонов, цветников, формовочная обрезка (подстрижка) крон деревьев и кустарников. Утепление и обмазка деревьев известью, смазывание прививок и мест повреждения садовым варом. Сбор и сортировка семян и рассады. Организация и ведение оранжерейного и парникового хозяйств. Проветривание и утепление парников и оранжерей, укрытие посевов и растений. Подготовка ящиков, горшков, стеллажей и посадка в них растений. Устройство, прополка и рыхление гряд.","породы деревьев, кустарников и других растений, их свойства и особенности; способы посева семян и высадки рассады; нормы и время полива растений; способы посадки, пересадки и прививки растений; виды, особенности удобрений и дезинфицирующих веществ, способы их применения; правила пользования садово-огородным инструментом и инвентарем. основы агротехники и ботаники; агротехнические правила ухода за растениями; способы стрижки деревьев и кустарников; правила обработки почвы и выполнения подготовительных работ для посадки растений; температурные режимы в теплицах, парниках и оранжереях; способы борьбы с болезнями растений и меры по предупреждению заболеваний их.","1,2"
Собаковод,"Тренировка и подготовка собак к выставкам и полевым испытаниям. Кормление щенят и взрослых собак и оказание им первой ветеринарной помощи. Контроль за пустовкой и щенением. Уход за собаками, чистка помещений и вольеров для них.",основы собаководства и ветеринарии; правила ухода за щенками и собаками; правила подготовки и тренировки собак к выставкам и полевым испытаниям; породы собак.,3
Стеклопротирщик," Очистка стекол и рам от грязи. Нанесение на стекла спецсостава и протирка их мягкой тряпкой, мойка оконных переплетов и подоконников. Выбор для работы необходимого инвентаря и приспособлений и содержание их в чистоте.",условия выполнения работы; виды и свойства моющих средств; правила выполнения работ на высоте и технику безопасности; правила пользования применяемыми приспособлениями.,"1,2"
Сторож (вахтер),"Проверка целостности охраняемого объекта (замков и других запорных устройств; наличия пломб, противопожарного инвентаря; исправности сигнализации, телефонов, освещения) совместно с представителем администрации или сменяемым сторожем. При выявлении неисправностей (взломанные двери, окна, замки, отсутствие пломб и печатей и др.), не позволяющих принять объект под охрану, докладывает об этом лицу, которому он подчинен, представителю администрации и дежурному по отделению милиции и осуществляет охрану следов преступления до прибытия представителей милиции. При возникновении пожара на объекте поднимает тревогу, извещает пожарную команду и дежурного по отделению милиции, принимает меры по ликвидации пожара. Дежурство в проходной предприятия, учреждения, организации: пропуск работников, посетителей, автотранспорта на территорию предприятия учреждения, организации и обратно по предъявлении ими соответствующих документов. Сверка соответствующих документов с фактическим наличием груза; открывание и закрывание ворот. Прием и сдача дежурства с соответствующей записью в журнале. Содержание помещения проходной в надлежащем санитарном состоянии.","положения и инструкции о пропускном режиме; образцы подписей лиц, имеющих право подписывать пропуска на вынос и вывоз материальных ценностей или посещение предприятия, учреждения, организации; образцы постоянных и разовых пропусков; правила и инструкции по охране объектов; границы охраняемого объекта; номера телефонов представителей администрации охраняемого объекта и дежурного по отделению милиции.",1
Стрелок,"Несение службы по охране объектов и материальных ценностей от противоправных посягательств. Осуществление пропускного и внутриобъектового режима. Предупреждение и пресечение правонарушений на охраняемых объектах. Задержание лиц, пытающихся незаконно вывезти (вынести) материальные ценности с охраняемого объекта или подозреваемых в совершении правонарушений, и сопровождение их в караульное помещение или отделение милиции. Проверка соблюдения требований технических условий при размещении и креплении грузов на открытой площадке подвижного состава в соответствии с правилами перевозок грузов. Контроль за состоянием запорно-пломбировочных устройств подвижного состава, контейнеров, тары и упаковок с грузами. Проверка наличия описей на перевозимые грузы и правильности их составления. Участие в оформлении документов, подтверждающих коммерческую неисправность подвижного состава, контейнеров и следы хищения грузов. Выявление посторонних лиц в грузовых поездах. Контроль за работой приборов охранной и охранно-пожарной сигнализации, установленных на охраняемых объектах. Оперативное оповещение дежурного пункта централизованной охраны о причинах сигнала тревоги, поступившего с охраняемого объекта. Использование при несении службы караульных собак. Участие в ликвидации аварий, пожаров, стихийных бедствий и других чрезвычайных ситуаций на охраняемом объекте.","приказы, другие нормативные документы, регламентирующие организацию работы по охране объекта и материальных ценностей; назначение, тактико-технические характеристики и правила эксплуатации применяемых средств охранной и охранно-пожарной сигнализации; правила внутреннего трудового распорядка и инструкцию о пропускном режиме на охраняемом объекте; правила досмотра вещей и личного досмотра, производства административного задержания, оформления материалов на правонарушителей, применения оружия, радиосредств и переговорных устройств; правила перевозок грузов; технические условия погрузки и крепления грузов; правила содержания и эксплуатации пожарных поездов; правила и нормы охраны труда, техники безопасности, производственной санитарии и противопожарной защиты.",2
Уборщик мусоропроводов,"Характеристика работ. Уборка, очистка и промывка от грязи и мусора загрузочных клапанов, помещений мусоросборочных и мусороприемных камер, проходов и лестниц к ним, мусоросборников. Вынос из камер переносных мусоросборников с мусором и установка их в камеру. Обеспечение исправного состояния мусоропроводов, мусороприемных камер и мусоросборников, их дезинфекция, устранение засоров стволов мусоропроводов. Регулирование вентиляции стволов мусоропроводов.","правила пользования и содержания мусоропроводов, способы прочистки стволов, бункеров и правила техники безопасности при выполнении этих работ; правила санитарии и гигиены по содержанию мусоропроводов.",1
Уборщик производственных помещений,"Уборка в цехах и других производственных помещениях отходов производства и мусора. Удаление пыли, подметание и мытье вручную или с помощью машин и приспособлений полов, лестниц, лестничных клеток, окон, стен, потолков в производственных помещениях. Приготовление моющих и дезинфицирующих растворов для мытья полов, стен, окон и потолков. Транспортировка отходов и мусора из производственных помещений в установленное место. Получение моющих средств, инвентаря и обтирочного материала. Наполнение емкостей питьевой водой. Очистка, санитарная обработка и расстановка урн для мусора. Уборка и дезинфицирование туалетов, душевых, гардеробных и других мест общего пользования производственных помещений.",требования промышленной санитарии; правила санитарии и гигиены по содержанию производственных помещений; устройство и правила эксплуатации обслуживаемого оборудования и приспособлений; назначение и концентрацию моющих и дезинфицирующих средств; правила эксплуатации санитарно-технического оборудования.,2
Уборщик служебных помещений,"Уборка холлов, вестибюлей, коридоров, лестничных клеток служебных и других помещений общественных и административных зданий. Удаление пыли с мебели, ковровых изделий, подметание и мытье вручную или с помощью машин и приспособлений стен, полов, лестниц, окон. Влажное подметание и мытье лестничных площадок, маршей, мест перед загрузочными клапанами мусоропровода, удаление пыли с потолка, влажная протирка стен, дверей, плафонов, подоконников, оконных решеток, перил, чердачных лестниц. Подметание и мытье площадки перед входом в подъезд. Мытье пола, влажная уборка стен, дверей, потолков, плафонов кабины лифта. Сбор и перемещение мусора в установленное место. Чистка и дезинфицирование санитарно-технического оборудования в местах общего пользования. Получение моющих и дезинфицирующих средств, инвентаря и обтирочного материала.",правила санитарии и гигиены по содержанию убираемых помещений; устройство и правила эксплуатации обслуживаемого оборудования и приспособлений; правила уборки; назначение и концентрацию дезинфицирующих и моющих средств; правила эксплуатации санитарно-технического оборудования.,1
Уборщик территорий,"Подметание проезжей части дорог и тротуаров улиц, очистка их от снега и льда, посыпка песком. Рытье и прочистка канавок и лотков для стока воды. Очистка от снега и льда пожарных колодцев для свободного доступа к ним. Поливка мостовых, тротуаров, зеленых насаждений, клумб и газонов. Периодическая промывка и дезинфекция уличных урн, очистка их от мусора. Наблюдение за санитарным состоянием обслуживаемой территории.",санитарные правила по содержанию улиц; правила безопасности при выполнении уборочных работ.,1
Тракторист,"Управление трактором с мощностью двигателя до 25,7 кВт (до 35 л.с.), работающим на жидком топливе, при транспортировке различных грузов, машин, механизмов, металлоконструкций и сооружений разной массы и габаритов с применением прицепных приспособлений или устройств. Наблюдение за погрузкой, креплением и разгрузкой транспортируемых грузов. Заправка трактора топливом и смазывание трактора и всех прицепных устройств. Выявление и устранение неисправностей в работе трактора. Производство текущего ремонта и участие во всех других видах ремонта обслуживаемого трактора и прицепных устройств.","принцип работы и устройство обслуживаемого трактора; правила уличного движения; правила погрузки, укладки, строповки и разгрузки различных грузов; правила производства работ с прицепными приспособлениями и устройствами; способы выявления и устранения недостатков в работе трактора; мощность обслуживаемого двигателя и предельную нагрузку прицепных приспособлений; порядок оформления приемо-сдаточных документов на перевозимые грузы или выполненные работы.",2
Водитель погрузчика,"Управление тракторными погрузчиками и разгрузчиками, вагонопогрузчиками, вагоноразгрузчиками и всеми специальными грузозахватными механизмами и приспособлениями при погрузке, выгрузке, перемещении и укладке в штабель различных грузов под руководством водителя более высокой квалификации. Участие в планово-предупредительном ремонте погрузо-разгрузочных и грузозахватных механизмов и приспособлений. Управление аккумуляторными погрузчиками и всеми специальными грузозахватными механизмами и приспособлениями при погрузке, выгрузке, перемещении и укладке в штабель грузов. Техническое обслуживание и текущий ремонт погрузчика и всех его механизмов. Определение неисправностей в работе погрузчика, его механизмов и их устранение. Установка и замена съемных грузозахватных приспособлений и механизмов. Участие в проведении планово-предупредительного ремонта погрузчика и грузозахватных механизмов и приспособлений. Заряд аккумуляторов. Управление тракторными погрузчиками, вагонопогрузчиками, вагоноразгрузчиками и всеми специальными грузозахватными механизмами и приспособлениями при погрузке, выгрузке, перемещении и укладке грузов в штабель и отвал. Техническое обслуживание погрузчика и текущий ремонт всех его механизмов. Определение неисправностей в работе погрузчика. Установка и замена съемных грузозахватных приспособлений и механизмов. Участие в проведении планово-предупредительного ремонта погрузчика, грузозахватных механизмов и приспособлений.","основные сведения об устройстве обслуживаемых погрузчиков и погрузо-разгрузочных механизмов и их агрегатов; инструкцию по их эксплуатации, монтажу, пуску, регулированию и обкатке; характеристику масел и смазочных материалов; причины неисправностей и методы их устранений. устройство аккумуляторного погрузчика; способы погрузки, выгрузки грузов на всех видах транспорта; правила подъема, перемещения и укладки грузов; правила уличного движения, движения по территории предприятия, пристанционным путям и установленную сигнализацию; элементарные сведения по электротехнике. устройство погрузчиков и аккумуляторных батарей; способы погрузки и выгрузки грузов на всех видах транспорта; правила подъема, перемещения и укладки грузов; правила дорожного движения, движения по территории предприятия и пристанционным путям; применяемые сорта горючих и смазочных материалов; наименования основных материалов аккумуляторного производства; правила обращения с кислотами и щелочами.",2-7
